index,제목,저자,카테고리,판매가격,난이도,출판연도,대출가능
0,Java 클린 아키텍처,최수빈,Java,30000,입문,2023,False
1,Python 머신러닝 실전,이서연,Python,12000,입문,2023,True
2,C로 만드는 쉘,박지훈,C,25000,중급,2019,False
3,C 언어 본질,임태양,C,20000,초급,2024,True
4,스프링 시큐리티 완벽 가이드,정우성,Java,25000,초급,2021,False
5,C# 함수형 프로그래밍,Amy Song,C#,22000,초급,2024,False
6,C++ 리팩터링 기법,이서연,C++,14000,입문,2021,False
7,Spring Framework 실전,James Kim,Java,38000,전문가,2020,False
8,C# 알고리즘 마스터,임태양,C#,30000,입문,2018,True
9,C++ 그래픽스 프로그래밍,Mike Lee,C++,12000,전문가,2017,False
10,C++ 성능 최적화,이서연,C++,38000,고급,2023,False
11,C로 만드는 컴파일러,정우성,C,45000,입문,2022,True
12,C# 성능 튜닝,정우성,C#,35000,입문,2016,True
13,C++ 안전한 코딩,Emily Cho,C++,45000,입문,2015,True
14,C++ 멀티스레딩,오동현,C++,42000,초급,2016,True
15,Kotlin과 Java,Sarah Park,Java,25000,초급,2017,True
16,파이썬 크롤링 마스터,James Kim,Python,28000,전문가,2017,True
17,Java 함수형 프로그래밍,한예린,Java,40000,전문가,2021,True
18,파이썬 디자인 패턴,이서연,Python,42000,입문,2024,True
19,Java 성능 최적화,Brian Lim,Java,40000,전문가,2016,False
20,C# 디자인 패턴,Mike Lee,C#,16000,초급,2021,True
21,C++ 완전 정복,Brian Lim,C++,45000,전문가,2021,True
22,Java 디자인 패턴,David Jung,Java,18000,고급,2024,False
23,C 알고리즘과 자료구조,강하늘,C,25000,초급,2022,True
24,C 네트워크 소켓 프로그래밍,송지아,C,15000,고급,2023,True
25,모던 C++17 실전,Linda Han,C++,45000,전문가,2019,True
26,Gradle Java 빌드,최수빈,Java,28000,중급,2023,False
27,C# 완벽 가이드,이서연,C#,14000,입문,2015,False
28,Python 자동화 프로그래밍,김민준,Python,20000,초급,2016,False
29,Java 테스트 자동화,Chris Oh,Java,28000,고급,2023,True
30,JVM 튜닝 가이드,오동현,Java,45000,중급,2019,False
31,모던 C++ 디자인,Linda Han,C++,40000,중급,2020,True
32,Java 알고리즘 마스터,이서연,Java,25000,초급,2016,True
33,C 비트 연산 완벽 가이드,Mike Lee,C,35000,초급,2019,False
34,C++ 시스템 프로그래밍,임태양,C++,42000,중급,2021,False
35,Python 병렬 처리,최수빈,Python,38000,입문,2017,False
36,임베디드 C 프로그래밍,김민준,C,16000,입문,2022,False
37,열혈 C 프로그래밍,강하늘,C,22000,고급,2015,True
38,스프링 부트 완벽 가이드,Amy Song,Java,25000,입문,2019,True
39,C 언어 최적화 기법,Chris Oh,C,42000,중급,2023,True
40,C++ 컴파일러 최적화,Mike Lee,C++,14000,중급,2017,True
41,언리얼 엔진 C++,Emily Cho,C++,20000,전문가,2023,False
42,C# 마이크로서비스,강하늘,C#,42000,중급,2016,False
43,파이썬 비동기 프로그래밍,박지훈,Python,38000,입문,2019,True
44,C로 배우는 자료구조,송지아,C,25000,고급,2023,True
45,C++ 객체지향 설계,송지아,C++,20000,전문가,2024,False
46,C++ 게임 프로그래밍,Sarah Park,C++,40000,입문,2018,False
47,C# Entity Framework,최수빈,C#,18000,고급,2017,False
48,C# LINQ 완전 정복,Emily Cho,C#,32000,입문,2020,False
49,C 메모리 관리 마스터,임태양,C,40000,전문가,2017,True
50,C++ 함수형 프로그래밍,오동현,C++,30000,중급,2023,True
51,C# 테스트 주도 개발,박지훈,C#,12000,전문가,2023,False
52,ASP.NET Core 마스터,박지훈,C#,15000,중급,2015,True
53,FastAPI 실전 가이드,박지훈,Python,14000,전문가,2024,True
54,C# 리팩터링,최수빈,C#,16000,초급,2020,True
55,NumPy & Pandas 완벽 가이드,Mike Lee,Python,15000,입문,2022,False
56,Java 객체지향의 원리,David Jung,Java,38000,입문,2015,False
57,점프 투 파이썬,최수빈,Python,15000,초급,2016,False
58,C++ STL 완벽 가이드,최수빈,C++,25000,중급,2020,True
59,리눅스 C 프로그래밍,Amy Song,C,22000,입문,2019,False
60,C 언어 심화 완성,Linda Han,C,22000,초급,2018,True
61,C 보안 프로그래밍,박지훈,C,14000,입문,2015,False
62,이펙티브 자바,Amy Song,Java,25000,고급,2018,False
63,Java 반응형 프로그래밍,한예린,Java,42000,중급,2024,True
64,C# 비동기 프로그래밍,Brian Lim,C#,14000,고급,2016,True
65,C# 유니티 게임 개발,Chris Oh,C#,15000,중급,2016,True
66,C 언어로 구현하는 TCP/IP,Brian Lim,C,25000,초급,2022,True
67,파이썬으로 만드는 게임,David Jung,Python,35000,중급,2016,True
68,C 시스템 프로그래밍,Linda Han,C,15000,중급,2023,True
69,파이썬 알고리즘 인터뷰,오동현,Python,25000,초급,2017,True
70,C++ 알고리즘 인터뷰,David Jung,C++,25000,중급,2017,True
71,Python GUI 프로그래밍,Sarah Park,Python,35000,입문,2022,True
72,Python으로 배우는 통계,오동현,Python,32000,전문가,2023,True
73,파이썬 테스트 주도 개발,Rachel Kang,Python,35000,초급,2017,True
74,파이썬으로 시작하는 데이터 분석,송지아,Python,25000,전문가,2019,True
75,C++ 네트워크 프로그래밍,Amy Song,C++,12000,초급,2023,True
76,C# gRPC 프로그래밍,Rachel Kang,C#,12000,초급,2024,False
77,C++ 메타프로그래밍,David Jung,C++,16000,고급,2021,True
78,C 디버깅 가이드,박지훈,C,14000,고급,2018,True
79,Java의 정석,임태양,Java,15000,중급,2023,True
80,C# 클린 코드,송지아,C#,35000,전문가,2018,False
81,WPF 윈도우 프로그래밍,임태양,C#,38000,초급,2019,True
82,파이썬 네트워크 프로그래밍,강하늘,Python,15000,중급,2021,True
83,C로 배우는 운영체제,Sarah Park,C,20000,입문,2020,True
84,Python 완전 정복,최수빈,Python,12000,초급,2022,False
85,Flask 웹 개발,Amy Song,Python,22000,입문,2023,False
86,안드로이드 Java 개발,Mike Lee,Java,38000,중급,2022,False
87,C 멀티프로세스 프로그래밍,James Kim,C,12000,고급,2016,True
88,유니티 C# 심화,한예린,C#,42000,중급,2018,False
89,Python 클린 코드,Sarah Park,Python,35000,입문,2018,False
90,파이썬 딥러닝,송지아,Python,42000,초급,2016,False
91,Java 마이크로서비스,Chris Oh,Java,45000,전문가,2020,True
92,C++ 템플릿 마스터,최수빈,C++,16000,중급,2015,False
93,Effective C++,David Jung,C++,14000,초급,2024,True
94,JPA 프로그래밍,이서연,Java,16000,고급,2023,True
95,.NET Core 실전 개발,Chris Oh,C#,20000,고급,2018,True
96,C# 객체지향 프로그래밍,오동현,C#,32000,고급,2024,True
97,Java 멀티스레딩,박지훈,Java,22000,초급,2018,False
98,C 포인터 완전 정복,Rachel Kang,C,32000,중급,2015,False
99,Blazor 웹 개발,Rachel Kang,C#,16000,초급,2016,True
