index,제목,저자,카테고리,판매가격,난이도,출판연도,대출가능,인기도
0,Python 완전 정복,임태양,Python,25000,초급,2017,0,1
1,.NET Core 개발,Brian Lim,C#,40000,입문,2015,0,0
2,이펙티브 자바,Chris Oh,Java,12000,전문가,2018,1,0
3,JVM 튜닝,Brian Lim,Java,28000,입문,2017,1,1
4,임베디드 C,정우성,C,22000,중급,2016,0,1
5,모던 C++ 디자인,Sarah Park,C++,35000,전문가,2019,0,0
6,C++ 알고리즘,최수빈,C++,38000,입문,2023,1,0
7,C# 비동기 프로그래밍,Brian Lim,C#,22000,입문,2015,0,1
8,열혈 C 프로그래밍,송지아,C,16000,고급,2019,1,1
9,C로 배우는 OS,Sarah Park,C,35000,초급,2019,0,1
10,C# 유니티 게임,Amy Song,C#,25000,초급,2022,1,2
11,C 메모리 관리,송지아,C,32000,입문,2018,0,0
12,C 소켓 프로그래밍,임태양,C,15000,초급,2024,1,2
13,JVM 튜닝,Mike Lee,Java,42000,초급,2019,0,0
14,Java 디자인 패턴,Amy Song,Java,28000,전문가,2021,1,2
15,C 포인터 정복,정우성,C,45000,입문,2015,0,0
16,Java 객체지향,Emily Cho,Java,15000,고급,2021,1,2
17,C# 디자인 패턴,Amy Song,C#,12000,입문,2023,1,1
18,열혈 C 프로그래밍,강하늘,C,40000,초급,2022,0,0
19,C 메모리 관리,한예린,C,16000,중급,2023,0,1
20,Spring Framework,한예린,Java,12000,전문가,2020,1,1
21,파이썬 데이터 분석,Sarah Park,Python,30000,초급,2015,0,1
22,.NET Core 개발,박지훈,C#,45000,입문,2023,0,0
23,JVM 튜닝,Amy Song,Java,20000,중급,2023,1,2
24,Java 디자인 패턴,오동현,Java,30000,고급,2020,1,2
25,WPF 프로그래밍,최수빈,C#,25000,초급,2016,1,1
26,NumPy & Pandas 가이드,Amy Song,Python,25000,전문가,2018,0,1
27,Python 완전 정복,송지아,Python,15000,입문,2020,0,1
28,ASP.NET Core,임태양,C#,45000,초급,2023,0,0
29,Blazor 웹 개발,Linda Han,C#,25000,고급,2021,0,2
30,파이썬 데이터 분석,Emily Cho,Python,35000,고급,2021,1,2
31,파이썬 데이터 분석,이서연,Python,38000,중급,2016,0,0
32,이펙티브 자바,Amy Song,Java,42000,초급,2021,0,1
33,C 시스템 프로그래밍,송지아,C,15000,고급,2023,0,2
34,파이썬 크롤링,김민준,Python,15000,초급,2017,1,0
35,언리얼 엔진 C++,오동현,C++,38000,입문,2017,1,0
36,파이썬 딥러닝,임태양,Python,42000,중급,2021,1,1
37,이펙티브 자바,강하늘,Java,22000,입문,2024,0,1
38,C 언어 본질,이서연,C,45000,전문가,2023,0,0
39,파이썬 크롤링,박지훈,Python,20000,입문,2024,0,2
40,Java 멀티스레딩,최수빈,Java,25000,전문가,2024,0,2
41,.NET Core 개발,Emily Cho,C#,32000,중급,2018,1,1
42,Java 알고리즘,Mike Lee,Java,18000,중급,2022,1,2
43,Python 완전 정복,David Jung,Python,16000,입문,2023,0,1
44,C# 디자인 패턴,정우성,C#,35000,입문,2018,1,0
45,C로 배우는 OS,David Jung,C,30000,전문가,2023,0,2
46,C# 디자인 패턴,최수빈,C#,18000,중급,2016,0,1
47,C# 유니티 게임,임태양,C#,30000,전문가,2018,1,2
48,Java 알고리즘,Chris Oh,Java,45000,중급,2015,0,0
49,Effective C++,이서연,C++,12000,중급,2017,1,0
50,JVM 튜닝,Amy Song,Java,40000,전문가,2015,0,0
51,점프 투 파이썬,Amy Song,Python,14000,중급,2024,0,2
52,C++ 템플릿,이서연,C++,30000,중급,2015,1,2
53,이펙티브 자바,최수빈,Java,35000,전문가,2021,0,1
54,Java 객체지향,한예린,Java,40000,입문,2017,1,0
55,C++ 게임 프로그래밍,임태양,C++,20000,입문,2021,0,2
56,C++ 게임 프로그래밍,오동현,C++,42000,중급,2019,0,0
57,Java의 정석,오동현,Java,38000,중급,2019,0,0
58,C 알고리즘,Chris Oh,C,38000,전문가,2020,0,0
59,파이썬 알고리즘,한예린,Python,28000,입문,2016,1,1
60,C 알고리즘,Emily Cho,C,16000,고급,2024,0,2
61,C 언어 본질,Emily Cho,C,12000,전문가,2023,0,0
62,C 소켓 프로그래밍,박지훈,C,32000,전문가,2020,0,1
63,C 메모리 관리,강하늘,C,40000,중급,2021,1,1
64,C# 유니티 게임,오동현,C#,40000,고급,2017,1,0
65,C++ 알고리즘,김민준,C++,30000,중급,2018,1,2
66,Blazor 웹 개발,James Kim,C#,42000,고급,2022,0,1
67,WPF 프로그래밍,한예린,C#,15000,중급,2023,1,2
68,Python 머신러닝,강하늘,Python,25000,초급,2017,0,1
69,Python 머신러닝,Linda Han,Python,15000,고급,2021,0,2
70,언리얼 엔진 C++,Mike Lee,C++,25000,초급,2015,0,1
71,C++ 게임 프로그래밍,한예린,C++,42000,입문,2023,0,0
72,Python 자동화,정우성,Python,42000,전문가,2023,1,0
73,모던 C++17,Chris Oh,C++,40000,전문가,2022,0,0
74,언리얼 엔진 C++,임태양,C++,25000,중급,2023,1,2
75,Java 알고리즘,David Jung,Java,15000,중급,2018,1,2
76,C 알고리즘,Amy Song,C,15000,초급,2017,0,0
77,C++ 템플릿,오동현,C++,15000,고급,2021,1,2
78,WPF 프로그래밍,Emily Cho,C#,14000,초급,2021,1,2
79,C# 완벽 가이드,Brian Lim,C#,38000,고급,2015,1,0
80,C 소켓 프로그래밍,Emily Cho,C,25000,고급,2018,1,2
81,언리얼 엔진 C++,김민준,C++,38000,중급,2021,0,1
82,C++ 템플릿,Rachel Kang,C++,12000,고급,2024,0,2
83,파이썬 딥러닝,정우성,Python,42000,초급,2015,1,0
84,C++ STL 가이드,오동현,C++,42000,중급,2020,1,1
85,C 소켓 프로그래밍,임태양,C,15000,고급,2015,0,1
86,C 포인터 정복,박지훈,C,14000,입문,2018,0,0
87,NumPy & Pandas 가이드,정우성,Python,25000,초급,2022,0,2
88,ASP.NET Core,David Jung,C#,28000,중급,2017,0,1
89,Java 알고리즘,최수빈,Java,12000,중급,2024,1,2
90,C++ 게임 프로그래밍,박지훈,C++,25000,입문,2019,0,1
91,C# 완벽 가이드,Sarah Park,C#,40000,중급,2016,1,0
92,파이썬 딥러닝,Linda Han,Python,16000,고급,2020,1,2
93,Java 멀티스레딩,한예린,Java,28000,전문가,2023,1,2
94,C++ 멀티스레딩,Brian Lim,C++,28000,중급,2018,0,2
95,C 시스템 프로그래밍,송지아,C,42000,전문가,2024,1,0
96,C 언어 본질,Linda Han,C,32000,초급,2022,0,2
97,임베디드 C,James Kim,C,28000,전문가,2019,0,1
98,ASP.NET Core,박지훈,C#,25000,고급,2022,0,2
99,언리얼 엔진 C++,David Jung,C++,12000,입문,2019,0,0
100,C++ 게임 프로그래밍,강하늘,C++,35000,고급,2023,1,2
